20012,OCCURRENCE_IS_EXTRALIMITAL,SB,The occurrence is outside the normal range of the species,Wiki,Optionally exclude from mapping and other reports,Error,Important,Occurrence,,,"This is a record level indication that the occurrence has been flagged as extralimital. The occurrence is outside the normal range of the species, e.g. 'extralimital', 'vagrant'",,,
20013,OCCURRENCE_VERIFIED,SB,The occurrence has been verified,Wiki,Report,Verification,Important,Occurrence,,,"This is a record level indication that the occurrence has been verified as authentic. The occurrence is verified as authentic, e.g. confirmed, verified
",,,
20014,INFERRED_DUPLICATE_RECORD,SB,The occurence appears to be a duplicate,Wiki,Exclude from mapping and other reports. Should be viewable in error report,Error,Important,All,,Chapman 2005a,,,SUPPORTED,
20015,MISSING_CATALOGUENUMBER,MN,catalogueNumber not supplied with the record,,,,Other,,,,,,SUPPORTED,
20016,RECORDED_BY_UNPARSABLE,NC,The recordedBy field could not be parsed using the current known formats. ,,Records flagged with the assertion should be reviewed by developers so that the new format can be supported.,Warning,,Occurrence,recordedBy,,,,SUPPORTED,
20017,UNRECOGNISED_OCCURRENCE_STATUS,DM,"An occurrence status value supplied, but it was not a recognised value.",,Report,Warning,,Occurrence,occurrenceStatus,,,,,
20018,ASSUMED_PRESENT_OCCURRENCE_STATUS,DM,"An occurrence status value wasnt supplied with this record and an value of ""present"" has been assumed.",,Report,Warning,,Occurrence,occurrenceStatus,,,,,
20019,USER_ASSERTION_OTHER,,Generic miscellaneous user assertion,,,,,,,,,,,
,,,,,,,,,,,,,,
Temporal,,,,,,,,,,,,,,
30000,TEMPORAL_ISSUE,,"Generic temporal issue, isailly from user assertions",,,,,,,,,,,
30001,ID_PRE_OCCURRENCE,MN,,Wiki,Report,Error,Other,"Event/
Identification","dateIdentified, eventDate",,,dateIdentified < eventDate,SUPPORTED,
30002,GEOREFERENCE_POST_OCCURRENCE,MN,The record was georeferenced after recording - not an error but has implications for precision and accuracy.  The amount of time may indicate severity? GeoreferenceDate isn't a current DwC field.,Wiki,Report,Error,Other,"Event/
Location","eventDate, georeferenceDate",,,,SUPPORTED,
30003,FIRST_OF_MONTH,MN,May indicate the date is only known or recorded to the Month.  Flag if there is no precision data. datePrecision is not a curent DwC field,Wiki,Report,Warning,Other,Event,"eventDate, datePrecision(nonDwC)",,,,SUPPORTED,
30004,FIRST_OF_YEAR,MN,May indicate the date is only known or recorded to the Year.  Flag if there is no precision data.  datePrecision is not a curent DwC field,Wiki,Report,Warning,Other,Event,"eventDate, datePrecision(nonDwC)",,,,SUPPORTED,
30005,FIRST_OF_CENTURY,MN,May indicate the date is only known or recorded to the Century.  Flag if there is no precision data. datePrecision is not a curent DwC field,Wiki,Report,Warning,Other,Event,"eventDate, datePrecision(nonDwC)",,,,SUPPORTED,
30006,DATE_PRECISION_MISMATCH,MN,Date precision does not match the data.  datePrecision is not a curent DwC field,Wiki,Report,Error,Other,Event,"eventDate, datePrecision(nonDwC)",,,,NEW,
30007,INVALID_COLLECTION_DATE,DM,"No date provided, invalid year, month or day provided, the collecting event date was given as pre 1600, in the future or is otherwise invalid or unparseable.",Wiki,Report,Error,Important,Event,eventDate,,This is used as a general date issue ,,SUPPORTED,X
30008,MISSING_COLLECTION_DATE,SB,Collection date field is missing or null,Wiki,Exclude from mapping and other reports. Should be viewable in error report,Error,Important,Event,eventDate,,,,SUPPORTED,
30009,DAY_MONTH_TRANSPOSED,DM,Supplied day and month fields appear to be transposed,Wiki,Fix and Report,Warning,Other,Event,"eventDate. day, month",,if month > 12 and day <12 we can infer the fields have been incorrectly mapped,,SUPPORTED,
30010,INCOMPLETE_COLLECTION_DATE,NQ,The supplied collection date is missing a day and/or month component,,Report,Warning,Other,Event,eventDate,,"This is used to differentiate non error conditions for an event date. Previously this was included in INVALID_COLLECTION_DATE.  See https://github.com/AtlasOfLivingAustralia/ala/issues/detail?id=139 for discussion

This will be not used when the pipelines infrastructure is implemented. GBIF code interprets an incomplete date as a date range. For example, 06-2012 will be interpreted as 01-062012 to 30-06-2012.
",,"SUPPORTED in Biocache
DEPRECATED in pipelines implementation",
,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,
50000,VERIFIED,,Flag a user assertion issue as being verified,,,,,,,,,,,
,,,,,,,,,,,,,,
70001,MEDIA_REPRESENTATIVE,,,,,,,,,,,,,
70002,MEDIA_UNREPRESENTATIVE,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Collecting patterns,MN,"There could be a suite of test based on the example at right (from Australian Museum):
Our entomology staff have been reviewing georeference information in EMu. They found that the Lat Long was wrong for K244722 The following info was identified by the ento staff member: “irn 1061424 has Australia, New South Wales, Blackheath Creek (32° 09' 25"" S, 149° 16' 05"" E)
There are two lat/long possibilities: 

Blackheath Creek NSW Official-32 9 149 16
Blackheath CreekNSWOfficial-33 37 150 15 

I am going to change that site record to the second pair. 
I think it was a case of a data enterer picking the first one in the Gaz. I searched for the same collector (F.T. Fricke) around same date (Dec 1982). There 
are 138 Catalogue records, pretty much all from the Blue Mts. The first pair of lat/longs are way out west near Dunedoo. The second are near 
Blackheath.” And so they changed the records lat long in Emu to “ K.244722 - Castiarina variopicta (Thomson, 1878) - New South Wales, Blackheath Creek , (33 37' S , 150 15' E), 27 Dec 1982”",Wiki,,,,,,,,,,
